id_filtro_selezione;descrizione;object_context;object_name;filter;bind_expression;error_code_list;note;sort_expression;filter_tipi_avviso;nome_tabella;campo_descr_oggetto
53;Anagrafiche legate consuntivazioni connesse a compiti aperti;;anagraficheId;exists(consuntivazioniRis[(compito.stato = 'P' or compito.stato = 'A' or compito.stato = 'T' or compito.stato = 'V' or compito.stato = 'W') and compito.tipoSegnalazione.idTipoSegnalazione = 108]);;;;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
55;Alunni;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='DIP']);;;Alunni del professore;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
54;Modelli di progetto;;attivita;codiceAttivitaParent=Null AND dataFineValidita=Null;;;;;;attivita;
24;Farmaci;;articoli;codiceTipoArticolo='FAR';;;;;;articoli;
56;Risorse con fasi di progetto attive assegnate;;anagraficheId;exists(progettiFasiTr[progettoFase.stato = 'I' and dataInizio = null]);;;;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
49;CG con scadenza mensile tra 10 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-10) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-9) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=1)]);;;Centri gestionali con scadenza mensile che scadono tra 10 giorni;;;centri_gestionali;descrizione
51;CG con scadenza bi-settimanale tra 5 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'S' AND serieRipetizione.periodicita=2)]);;;Centri gestionali con scadenza bi-settimanale che scadono tra 5 giorni;;;centri_gestionali;descrizione
44;CG con scadenza bi-tri-quadrimestrale tra 5 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-5) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-4) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))]);;;Centri gestionali con scadenza bimestrale, trimestrale o quadrimestrale che scadono tra 5 giorni;;;centri_gestionali;descrizione
45;CG con scadenza semestrale tra 60 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-59) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)]);;;Centri gestionali con scadenza semestrale che scadono tra 60 giorni;;;centri_gestionali;descrizione
47;CG con scadenza annuale tra 90 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-89) > sysdate and serieRipetizione.cadenza= 'A']);;;Centri gestionali con scadenza annuale che scadono tra 90 giorni;;;centri_gestionali;descrizione
50;CG con scadenza mensile o settimanale tra 3 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-3) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-2) > sysdate and (serieRipetizione.cadenza= 'M' OR serieRipetizione.cadenza= 'S') AND serieRipetizione.periodicita=1]);;;Centri gestionali con scadenza mensile o settimanale che scadono tra 3 giorni;;;centri_gestionali;descrizione
46;CG con scadenza semestrale tra 20 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-20) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-19) > sysdate and (serieRipetizione.cadenza= 'M' AND serieRipetizione.periodicita=6)]);;;Centri gestionali con scadenza semestrale che scadono tra 20 giorni;;;centri_gestionali;descrizione
48;CG con scadenza annuale tra 30 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and serieRipetizione.cadenza= 'A']);;;Centri gestionali con scadenza annuale che scadono tra 30 giorni;;;centri_gestionali;descrizione
52;Centri gestionali con segnalazioni di tipo comunicazione aperte;;centriGestionali;exists(compiti[(stato = 'P' or stato = 'A' or stato = 'T' or stato = 'V' or stato = 'W') AND tipoSegnalazione.codice='CMN']) ;;;;;;centri_gestionali;descrizione
