"id_filtro_selezione","descrizione","object_context","object_name","filter","bind_expression","error_code_list","note","sort_expression","filter_tipi_avviso","nome_tabella","campo_descr_oggetto","additional_filter","selection_sql"
"1036","Centri gestionali con sondaggi scaduti e confermati (audit e compliance Finafarm)",NULL,"centriGestionali","exists(sondaggi[(idCentroGest = 13 or idCentroGest = 15 or idCentroGest = 16) and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL,NULL,"Centri gestionali con sondaggi scaduti e confermati (audit e compliance Finafarm)",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(idCentroGest = 13 or idCentroGest = 15 or idCentroGest = 16) and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL
"1037","Centri gestionali con sondaggi scaduti e confermati (NO controller Finafarm)",NULL,"centriGestionali","exists(sondaggi[idCentroGest != 13 and idCentroGest != 15 and idCentroGest != 16 and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL,NULL,"Centri gestionali con sondaggi scaduti e confermati (NO audit e compliance Finafarm)",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[idCentroGest != 13 and idCentroGest != 15 and idCentroGest != 16 and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL
"12","Sondaggi",NULL,"sondaggi","stato != 'N'",NULL,NULL,"Tutti i sondaggi.",NULL,NULL,"sondaggi",NULL,"stato != 'N'",NULL
"14","Risposte",NULL,"riepilogoRisposte",NULL,NULL,NULL,"Tutte le risposte.",NULL,NULL,"riepilogoRisposte",NULL,NULL,NULL
"15","Appuntamenti ed impegni provvisori",NULL,"agenda","stato = 'P'",NULL,NULL,NULL,NULL,NULL,"agenda",NULL,"stato = 'P'",NULL
"0","Popolazione generica",NULL,"aziende",NULL,NULL,NULL,"Oggetto di base usato quando la selezione non è rilevante.",NULL,NULL,"aziende","ragione_sociale",NULL,NULL
"23","Mese corrente",NULL,"periodi","tipo = 'M' and dataDa <= sysdate and dataA >= sysdate",NULL,NULL,NULL,NULL,NULL,"periodi",NULL,"tipo = 'M' and dataDa <= sysdate and dataA >= sysdate",NULL
"53","Anagrafiche legate consuntivazioni connesse a compiti aperti",NULL,"anagraficheId","exists(consuntivazioniRis[(compito.stato = 'P' or compito.stato = 'A' or compito.stato = 'T' or compito.stato = 'V' or compito.stato = 'W') and compito.tipoSegnalazione.idTipoSegnalazione = 108])",NULL,NULL,NULL,NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(consuntivazioniRis[(compito.stato = 'P' or compito.stato = 'A' or compito.stato = 'T' or compito.stato = 'V' or compito.stato = 'W') and compito.tipoSegnalazione.idTipoSegnalazione = 108])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"55","Alunni",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='DIP'])",NULL,NULL,"Alunni del professore",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='DIP'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"56","Risorse con fasi di progetto attive assegnate",NULL,"anagraficheId","exists(progettiFasiTr[progettoFase.stato = 'I' and dataInizio = null])",NULL,NULL,NULL,NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(progettiFasiTr[progettoFase.stato = 'I' and dataInizio = null])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"54","Modelli di progetto",NULL,"attivita","codiceAttivitaParent=Null AND dataFineValidita=Null",NULL,NULL,NULL,NULL,NULL,"attivita",NULL,"codiceAttivitaParent=Null AND dataFineValidita=Null",NULL
"43","CG con scadenza bi-tri-quadrimestrale tra 30 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))])",NULL,NULL,"Centri gestionali con scadenza bimestrale, trimestrale o quadrimestrale che scadono tra 30 giorni",NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))])",NULL
"10","Rischi associati all'argomento selezionato",NULL,"rischi","rischiTipiTest.idArgomento = ?","modelloTest.idArgomento",NULL,"Tutti i rischi associati all'argomento indicato nel modello di test stesso.",NULL,NULL,"rischi",NULL,"rischiTipiTest.idArgomento = ?",NULL
"11","Compiti non chiusi",NULL,"compiti","stato != 'C' and stato != 'N'",NULL,NULL,NULL,NULL,NULL,"compiti",NULL,"stato != 'C' and stato != 'N'",NULL
"7","Eventi/progetti",NULL,"eventi",NULL,NULL,NULL,"Tutti gli eventi/progetti.",NULL,NULL,"eventi","descrizione",NULL,NULL
"5","Fonti di rischio (per tipo modello di test e rischio specifico)",NULL,"fontiRischio","rischio.rischiTipiTest.idTipoModelloTest = ? and codiceRischio = ?","modelloTest.idTipoModellloTest|modelloTest.cplModelloTest.codiceRischio",NULL,"Tutte le fonti di rischio associate al rischio e al tipo di modello di test indicato nel modello di test stesso.",NULL,NULL,"fonti_rischio","descrizione","rischio.rischiTipiTest.idTipoModelloTest = ? and codiceRischio = ?",NULL
"6","Fonti di rischio (per tipo modello di test specifico)",NULL,"fontiRischio","rischio.rischiTipiTest.idTipoModelloTest = ?","modelloTest.idTipoModellloTest",NULL,"Tutte le fonti di rischio associate al tipo di modello di test indicato nel modello di test stesso.",NULL,NULL,"fonti_rischio","descrizione","rischio.rischiTipiTest.idTipoModelloTest = ?",NULL
"1039","Listini promozionali da approvare",NULL,"listiniVendita","flagPromozione = '1' and stato = 'A'",NULL,NULL,NULL,NULL,NULL,"listiniVendita",NULL,"flagPromozione = '1' and stato = 'A'",NULL
"100","Rischi",NULL,"rischi",NULL,NULL,NULL,"Tutti i rischi",NULL,NULL,"rischi",NULL,NULL,NULL
"1038","Campionature",NULL,"documenti","codiceTipoDocAz = 'CPTR' and stato = 'C'",NULL,NULL,NULL,NULL,NULL,"documenti",NULL,"codiceTipoDocAz = 'CPTR' and stato = 'C'",NULL
"24","Farmaci",NULL,"articoli","codiceTipoArticolo='FAR'",NULL,NULL,NULL,NULL,NULL,"articoli",NULL,"codiceTipoArticolo='FAR'",NULL
